CustomerID,BankID,CustomerName,Gender,Age,CustomerSegment,Occupation,AnnualIncome,City,State,Country,AccountOpeningDate,CustomerRiskScore,RiskCategory
C000001,7,Alex Wilson,Female,63,Mass Market,Student,65174,Berlin,Berlin,Germany,2025-12-15,11,High
C000002,8,Rahul Johnson,Other,43,Mass Market,Retired,23410,Mumbai,Maharashtra,India,2018-04-04,21,Low
C000003,1,Daniel Williams,Female,53,Mass Market,Student,28678,Los Angeles,California,USA,2018-08-25,9,Low
C000004,9,Olivia Gupta,Other,64,Mass Market,Other,105103,Mumbai,Maharashtra,India,2025-05-19,17,Medium
C000005,8,Chris Johnson,Male,54,Mass Market,Student,42186,Mumbai,Maharashtra,India,2015-11-04,78,Critical
C000006,8,Ananya Patel,Other,57,Affluent,Healthcare,240566,Hyderabad,Telangana,India,2018-10-02,8,High
C000007,4,Alex Sharma,Female,41,Business,Healthcare,62079,San Francisco,California,USA,2017-10-30,79,Low
C000008,9,Jordan Lee,Other,22,Mass Market,Retired,143229,Chennai,Tamil Nadu,India,2016-08-02,18,Low
C000009,4,Chris Patel,Female,31,Premium,Business Owner,58837,Chicago,Illinois,USA,2022-02-16,74,Medium
C000010,1,Jordan Patel,Other,52,Premium,Healthcare,76104,Houston,Texas,USA,2018-05-29,88,High
C000011,10,Daniel Taylor,Male,56,Mass Market,Engineer,100369,Pune,Maharashtra,India,2015-09-09,24,Low
C000012,3,Sam Clark,Other,55,Business,Consultant,129941,New York,New York,USA,2022-05-30,18,Medium
C000013,2,Daniel Miller,Male,40,Affluent,Retired,56063,Chicago,Illinois,USA,2018-01-06,54,Medium
C000014,7,Ananya Gupta,Other,36,Business,Healthcare,75931,Cologne,North Rhine-Westphalia,Germany,2020-02-15,22,Medium
C000015,3,Chris Williams,Male,47,Premium,Manager,39239,Chicago,Illinois,USA,2016-02-06,51,Low
C000016,9,Noah Davis,Female,45,Premium,Engineer,93223,Delhi,Delhi,India,2022-03-27,86,Medium
C000017,5,Taylor Williams,Other,71,Premium,Engineer,35797,Liverpool,England,UK,2018-10-20,30,High
C000018,1,Casey Sharma,Female,37,Affluent,Engineer,20687,Miami,Florida,USA,2025-06-07,49,Low
C000019,10,Daniel Wilson,Male,65,Premium,Business Owner,24548,Bengaluru,Karnataka,India,2015-06-22,5,Medium
C000020,6,Jordan Thomas,Female,37,Mass Market,Engineer,51528,London,England,UK,2020-06-29,22,Medium
C000021,3,Olivia Clark,Male,73,Premium,Business Owner,60286,Chicago,Illinois,USA,2022-01-22,67,Medium
C000022,7,Daniel Taylor,Female,51,Mass Market,Engineer,138470,Hamburg,Hamburg,Germany,2025-06-30,14,Medium
C000023,6,Taylor Johnson,Male,22,Mass Market,Retired,80052,Birmingham,England,UK,2022-01-10,7,Low
C000024,1,Jordan Anderson,Female,23,Premium,Healthcare,125891,San Francisco,California,USA,2023-01-07,57,Low
C000025,8,Sam Gupta,Other,47,Affluent,Retired,164338,Delhi,Delhi,India,2020-04-09,17,High
C000026,5,Riley Martin,Other,47,Mass Market,Healthcare,62402,London,England,UK,2018-09-10,9,Low
C000027,7,Riley Johnson,Male,22,Business,Retired,173435,Munich,Bavaria,Germany,2025-04-22,53,Medium
C000028,9,Avery Brown,Other,45,Business,Employee,117371,Hyderabad,Telangana,India,2016-01-25,12,Low
C000029,7,Neha Iyer,Male,21,Business,Student,89096,Munich,Bavaria,Germany,2021-08-25,23,Low
C000030,7,Daniel Patel,Male,26,Mass Market,Other,63137,Cologne,North Rhine-Westphalia,Germany,2020-04-24,30,Low
C000031,3,Morgan Moore,Female,34,Premium,Consultant,189271,New York,New York,USA,2024-09-18,78,Low
C000032,3,Riley Moore,Male,31,Mass Market,Employee,47256,Chicago,Illinois,USA,2022-09-08,50,Medium
C000033,5,Emma Gupta,Male,64,Affluent,Other,131279,Leeds,England,UK,2015-05-13,52,Low
C000034,9,Riley Miller,Female,22,Premium,Consultant,18000,Mumbai,Maharashtra,India,2025-04-14,48,Medium
C000035,6,Morgan Wilson,Male,57,Premium,Retired,151763,London,England,UK,2021-07-24,16,Low
C000036,4,Ananya Moore,Male,53,Affluent,Manager,56443,Chicago,Illinois,USA,2015-01-10,86,Low
C000037,8,Sam Sharma,Other,68,Affluent,Consultant,86646,Kolkata,West Bengal,India,2015-02-10,64,Low
C000038,9,Noah Williams,Other,37,Affluent,Other,122582,Ahmedabad,Gujarat,India,2022-04-26,55,Low
C000039,10,Olivia Lee,Female,58,Affluent,Business Owner,48708,Hyderabad,Telangana,India,2017-12-14,84,Medium
C000040,3,Noah Davis,Other,34,Business,Other,58514,Los Angeles,California,USA,2024-05-13,11,Low
C000041,8,Emma Johnson,Female,59,Business,Manager,72383,Mumbai,Maharashtra,India,2020-10-04,50,High
C000042,6,Daniel Moore,Male,65,Business,Student,54847,Leeds,England,UK,2022-12-16,14,Medium
C000043,5,Arjun Johnson,Female,28,Affluent,Consultant,54135,Leeds,England,UK,2017-07-21,44,Medium
C000044,4,Jordan Miller,Other,60,Affluent,Manager,194668,Dallas,Texas,USA,2018-01-04,64,Low
C000045,2,Ananya Johnson,Other,29,Business,Healthcare,92289,Chicago,Illinois,USA,2025-03-02,43,Medium
C000046,3,Priya Taylor,Male,30,Premium,Employee,18000,Miami,Florida,USA,2016-08-30,56,Low
C000047,6,Priya Patel,Male,38,Affluent,Healthcare,62678,Birmingham,England,UK,2017-01-24,9,Low
C000048,9,Emma Smith,Other,26,Premium,Healthcare,54072,Mumbai,Maharashtra,India,2017-11-22,34,High
C000049,9,Rahul Smith,Male,59,Mass Market,Business Owner,44472,Mumbai,Maharashtra,India,2025-11-25,62,High
C000050,2,Olivia Johnson,Other,31,Affluent,Student,75278,Miami,Florida,USA,2020-03-08,76,Low
C000051,7,Jordan Gupta,Male,36,Premium,Manager,64017,Munich,Bavaria,Germany,2018-04-25,48,Critical
C000052,1,Jamie Gupta,Female,65,Affluent,Manager,32910,Chicago,Illinois,USA,2019-02-15,55,Low
C000053,7,Morgan Lee,Male,66,Premium,Engineer,47137,Cologne,North Rhine-Westphalia,Germany,2019-11-12,35,High
C000054,4,Priya Brown,Other,70,Mass Market,Healthcare,103096,San Francisco,California,USA,2018-05-12,72,Low
C000055,5,Noah Smith,Other,48,Business,Student,23800,Liverpool,England,UK,2021-09-17,38,High
C000056,8,Vikram Wilson,Female,33,Affluent,Retired,67828,Delhi,Delhi,India,2024-11-27,42,Medium
C000057,5,Noah Iyer,Male,21,Premium,Healthcare,60305,Manchester,England,UK,2020-06-18,44,Medium
C000058,9,Avery Singh,Other,46,Mass Market,Other,220197,Kolkata,West Bengal,India,2017-09-10,93,High
C000059,6,Daniel Brown,Male,62,Premium,Retired,28300,Leeds,England,UK,2023-06-03,53,High
C000060,10,Taylor Gupta,Female,67,Business,Manager,66995,Hyderabad,Telangana,India,2022-06-21,14,Low
C000061,7,Casey Smith,Other,67,Mass Market,Employee,122789,Munich,Bavaria,Germany,2020-03-17,5,Medium
C000062,3,Neha Iyer,Female,37,Business,Business Owner,168099,Los Angeles,California,USA,2017-07-16,32,High
C000063,8,Jamie Davis,Male,50,Affluent,Consultant,69447,Pune,Maharashtra,India,2020-03-07,43,Critical
C000064,5,Taylor Anderson,Other,29,Premium,Student,18953,Birmingham,England,UK,2018-02-05,36,Low
C000065,6,Olivia Anderson,Female,37,Business,Student,92959,Manchester,England,UK,2021-11-06,43,Medium
